scenario,config,algorithm,n_features,accuracy,f1_macro,precision_macro,recall_macro,cv_mean,cv_std,recall_class_0,recall_class_1,tn,fp,fn,tp,recall_class_2
exact,full,random_forest,7,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,454.0,0.0,0.0,1050.0,
exact,full,svm,7,0.9148936170212766,0.8892234037655942,0.9456706281833616,0.8590308370044053,0.9061075636236033,0.007173011731539975,0.7180616740088106,1.0,326.0,128.0,0.0,1050.0,
exact,full,logistic_regression,7,0.9148936170212766,0.8892234037655942,0.9456706281833616,0.8590308370044053,0.908120363337298,0.008877290718547095,0.7180616740088106,1.0,326.0,128.0,0.0,1050.0,
exact,no_leak,random_forest,5,0.8371010638297872,0.7629949798518718,0.9054054054054055,0.7301762114537445,0.786303488060804,0.016833182617895806,0.460352422907489,1.0,209.0,245.0,0.0,1050.0,
exact,no_leak,svm,5,0.8470744680851063,0.7837215990796664,0.8989600598834411,0.7504468219005664,0.8009979932292559,0.012848901511542426,0.5066079295154186,0.9942857142857143,230.0,224.0,6.0,1044.0,
exact,no_leak,logistic_regression,5,0.7227393617021277,0.6815331063531598,0.6772181141463703,0.6882798405705894,0.6868298911875961,0.009090509428179034,0.6013215859030837,0.7752380952380953,273.0,181.0,236.0,814.0,
exact,no_leak_strict,random_forest,3,0.5824468085106383,0.497624584328852,0.49771973466003316,0.4977847702957835,0.5146005189428917,0.009672608529276455,0.2841409691629956,0.7114285714285714,129.0,325.0,303.0,747.0,
exact,no_leak_strict,svm,3,0.6981382978723404,0.4111198120595145,0.3490691489361702,0.5,0.4112003290661167,8.054065793088317e-05,0.0,1.0,0.0,454.0,0.0,1050.0,
exact,no_leak_strict,logistic_regression,3,0.4621010638297872,0.4608308551429596,0.5234870717197633,0.5253681560730019,0.46913041599193583,0.011813120956483817,0.6850220264317181,0.3657142857142857,311.0,143.0,666.0,384.0,
exact,sentinel_fixed,random_forest,8,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,454.0,0.0,0.0,1050.0,
exact,sentinel_fixed,svm,8,1.0,1.0,1.0,1.0,0.9990143660692375,0.0010779446349996429,1.0,1.0,454.0,0.0,0.0,1050.0,
exact,sentinel_fixed,logistic_regression,8,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,454.0,0.0,0.0,1050.0,
fuzzy,full,random_forest,7,1.0,1.0,1.0,1.0,0.9977951201978715,0.002141594067279762,1.0,1.0,,,,,1.0
fuzzy,full,svm,7,0.918218085106383,0.8671648926571867,0.9264467718880757,0.8371164637256859,0.8610671955755229,0.013739524500660093,0.9956140350877193,0.5309734513274337,,,,,0.9847619047619047
fuzzy,full,logistic_regression,7,0.9281914893617021,0.8790604556923496,0.966395371170652,0.8407209025513637,0.8674291681726108,0.015505979951764825,0.9956140350877193,0.5265486725663717,,,,,1.0
fuzzy,no_leak,random_forest,5,0.6502659574468085,0.6525963774695457,0.668570444616051,0.6675241200345998,0.6684301642649335,0.005438718883349456,0.9912280701754386,0.37610619469026546,,,,,0.6352380952380953
fuzzy,no_leak,svm,5,0.8490691489361702,0.6334172345345529,0.6074132080396764,0.665204678362573,0.6323980043003214,0.0006994168900255499,0.9956140350877193,0.0,,,,,1.0
fuzzy,no_leak,logistic_regression,5,0.6396276595744681,0.654041376386969,0.673839676460895,0.6763343461899587,0.6551162713944956,0.011371966700870149,0.9912280701754386,0.42920353982300885,,,,,0.6085714285714285
fuzzy,no_leak_strict,random_forest,3,0.5472074468085106,0.331320821210129,0.33170109042112733,0.331525938740657,0.34951629246989346,0.011178779107965272,0.11842105263157894,0.1504424778761062,,,,,0.7257142857142858
fuzzy,no_leak_strict,svm,3,0.6981382978723404,0.274079874706343,0.2327127659574468,0.3333333333333333,0.2741335527107444,5.3693771953922107e-05,0.0,0.0,,,,,1.0
fuzzy,no_leak_strict,logistic_regression,3,0.35904255319148937,0.26179225882917806,0.3202954395069539,0.3443299251077547,0.2820430183045333,0.010170050878550755,0.6359649122807017,0.02654867256637168,,,,,0.37047619047619046
fuzzy,sentinel_fixed,random_forest,8,1.0,1.0,1.0,1.0,0.9985297391143089,0.0013746284934394953,1.0,1.0,,,,,1.0
fuzzy,sentinel_fixed,svm,8,1.0,1.0,1.0,1.0,0.9984483666630904,0.0015161650041077808,1.0,1.0,,,,,1.0
fuzzy,sentinel_fixed,logistic_regression,8,1.0,1.0,1.0,1.0,0.9977961376755953,0.0021417676059022105,1.0,1.0,,,,,1.0
