seed,algorithm,threshold,precisao_validacao,recall_excecao,precisao_excecao,taxa_encaminhamento,pr_auc_excecao,f1_macro,vp_excecao,fp_excecao,fn_excecao,vn_excecao
0,random_forest,0.505,0.9019607843137255,0.8288888888888889,0.8923444976076556,0.2786666666666667,0.9382818828817023,0.9011118700339786,373,45,77,1005
0,svm,0.6419277399522683,0.9007633587786259,0.7933333333333333,0.9248704663212435,0.25733333333333336,0.9325347174326866,0.8988449530817465,357,29,93,1021
0,logistic_regression,0.7221049137573559,0.9018087855297158,0.7377777777777778,0.8972972972972973,0.24666666666666667,0.9134102633941346,0.8690982322667264,332,38,118,1012
1,random_forest,0.4983306213720688,0.9021479713603818,0.82,0.8870192307692307,0.2773333333333333,0.9322904679139405,0.8961063697617588,369,47,81,1003
1,svm,0.6523782443946846,0.900497512437811,0.7911111111111111,0.9081632653061225,0.2613333333333333,0.9193494250886532,0.8926823684285837,356,36,94,1014
1,logistic_regression,0.6806570409846806,0.9018087855297158,0.7422222222222222,0.9100817438692098,0.24466666666666667,0.9060500906914143,0.8746853818114944,334,33,116,1017
2,random_forest,0.535,0.9014778325123153,0.8288888888888889,0.9053398058252428,0.27466666666666667,0.9406552293033694,0.9055864600131528,373,39,77,1011
2,svm,0.6155562370500993,0.9007633587786259,0.8244444444444444,0.9070904645476773,0.27266666666666667,0.9369925347557826,0.9045738747737367,371,38,79,1012
2,logistic_regression,0.6811734333499415,0.9018087855297158,0.7888888888888889,0.9196891191709845,0.25733333333333336,0.9235976345507473,0.8955283941663941,355,31,95,1019
3,random_forest,0.48,0.9014778325123153,0.84,0.8532731376975169,0.29533333333333334,0.9329071654977084,0.8907815945462015,378,65,72,985
3,svm,0.39906889150162894,0.9009661835748792,0.8266666666666667,0.8571428571428571,0.28933333333333333,0.9176446028292513,0.8877331941937747,372,62,78,988
3,logistic_regression,0.61110329968099,0.9010152284263959,0.7755555555555556,0.8994845360824743,0.25866666666666666,0.9104925091857251,0.8840903521224712,349,39,101,1011
4,random_forest,0.4635702595654696,0.9016393442622951,0.8111111111111111,0.8837772397094431,0.2753333333333333,0.9286788303085171,0.8918248310542443,365,48,85,1002
4,svm,0.58474642728022,0.9016786570743405,0.7644444444444445,0.8865979381443299,0.25866666666666666,0.9085500883865902,0.8758110915597905,344,44,106,1006
4,logistic_regression,0.7109991375373645,0.9002493765586035,0.7377777777777778,0.894878706199461,0.24733333333333332,0.8940501555823549,0.8683591966054001,332,39,118,1011
5,random_forest,0.4183591651295008,0.9011764705882352,0.8511111111111112,0.8724373576309795,0.2926666666666667,0.9375458864304931,0.9016880350875136,383,56,67,994
5,svm,0.656299294215794,0.9017632241813602,0.8022222222222222,0.9304123711340206,0.25866666666666666,0.9276995726157318,0.9039605774729047,361,27,89,1023
5,logistic_regression,0.6063710996756766,0.900990099009901,0.8088888888888889,0.8792270531400966,0.276,0.9149153614575458,0.889461090303787,364,50,86,1000
6,random_forest,0.53,0.9020618556701031,0.8022222222222222,0.8935643564356436,0.2693333333333333,0.9313534743695945,0.8919617348108021,361,43,89,1007
6,svm,0.5466435162094192,0.9020618556701031,0.7933333333333333,0.8707317073170732,0.2733333333333333,0.9219167756219842,0.8810041295370572,357,53,93,997
6,logistic_regression,0.6533003721242361,0.901595744680851,0.78,0.8931297709923665,0.262,0.9247654191399826,0.8836858230341667,351,42,99,1008
7,random_forest,0.555,0.9010152284263959,0.7955555555555556,0.9179487179487179,0.26,0.928172515979182,0.8974867724867724,358,32,92,1018
7,svm,0.6221370847286276,0.9007444168734491,0.7888888888888889,0.8787128712871287,0.2693333333333333,0.9223413393796969,0.8821400743390568,355,49,95,1001
7,logistic_regression,0.6807986425621233,0.9010416666666666,0.7644444444444445,0.9076517150395779,0.25266666666666665,0.9102022985103836,0.8824842659489409,344,35,106,1015
8,random_forest,0.565,0.9010416666666666,0.8133333333333334,0.9289340101522843,0.26266666666666666,0.9440001060572211,0.9076752631255001,366,28,84,1022
8,svm,0.6626381863634068,0.9012987012987013,0.7977777777777778,0.9300518134715026,0.25733333333333336,0.9366818543679081,0.9021615119970992,359,27,91,1023
8,logistic_regression,0.705517064395542,0.900804289544236,0.7644444444444445,0.9373297002724795,0.24466666666666667,0.9245010875812271,0.8915061359307568,344,23,106,1027
9,random_forest,0.45889864582219786,0.9014423076923077,0.8244444444444444,0.8961352657004831,0.276,0.9423190975146581,0.9008400957136913,371,43,79,1007
9,svm,0.5290900224076955,0.9002433090024331,0.82,0.902200488997555,0.27266666666666667,0.9341144646838211,0.9013114431420697,369,40,81,1010
9,logistic_regression,0.6616568900607698,0.9005102040816326,0.7977777777777778,0.890818858560794,0.26866666666666666,0.9313755091976038,0.8894283088646826,359,44,91,1006
